full_text,sentimen,kategori
"💐IDE JUDUL SKRIPSI💐

Pengaruh Media Pembelajaran Online Terhadap
Hasil Belajar Pendidikan Agama Islam Pada Masa Pandemi Covid 19 (Studi kasus kelas Y SMA X Kota N)

#skripsi #pendidikanagamaislam #sugardady #kupingpanjang #luhut #bandungfullsenyum",negatif,Control 
"Benarkah Kurikulum Merdeka dapat menjadi sarana recovery ampuh dari learning loss akibat pembelajaran online saat krisis pandemi Covid-19? #headline
https://t.co/pg1jbZWCer",positif,Composure
Pembelajaran secara online selama pandemi COVID-19 dinilai tidak maksimal dan berimbas pada siswa. #publisherstory https://t.co/7Ipc0OEVM2,positif,Composure
"Pendidikan Di Masa Pandemi COVID-19”. Maka dari itu, kegiatan pembelajaran di Program Studi Sarjana Kesehatan Masyarakat, Fakultas Kedokteran, Universitas Udayana terhitung mulai Hari Senin, 7 Februari 2022 kembali dilakukan sepenuhnya secara daring/online sampai ada perkembangan",positif,Comitment
"Sebab pandemi. Mengikuti pembelajaran via online Indonesia-Madinah selama 2 semester. Setelah itu memutuskan untuk menikah dulu. Karena kasus covid meningkat, akhirnya dari pihak Madinah disuruh cuti sekitar 1 semester.",positif,Comitment
Tidak sedikit mahasiswa yang mengalami kesulitan hidup apalagi di tengah pandemi Covid-19 dan faktanya Pembelajaran daring masih dilakukan karena regulasi offline online yang belum jelas.Mahasiswa juga tidak dapat mengakses dengan baik pelayanan akademik dan fasilitas kampus.,positif,Composure
"Ketua Ikatan Dokter Anak Indonesia Piprim Basarah Yanuarso mengatakan, pihaknya tetap konsisten mendorong agar sekolah pada masa pandemi Covid-19 menerapkan metode hybrid, yaitu 50 persen online dan 50 persen pembelajaran tatap muka terbatas.

#SmartNews @kompascom https://t.co/udKh0XRKWS",negatif,Comitment
"IDAI mendorong agar sekolah pada masa pandemi Covid-19 tetap mengakomodasi opsi pembelajaran jarak jauh atau ""online"". https://t.co/34GKrYdYrM",positif,Control 
"[SELAMAT TAHUN BARU 2022]

Tak terasa sudah melewati tahun 2021, banyak hal yang terjadi dan berubah. Walaupun kita masih menghadapi pandemi Covid-19 dan pembelajaran secara online, mari kita sambut tahun 2022 dengan penuh semangat dan senyuman. https://t.co/tvwGV0HGnY",negatif,Comitment
"Penelitian kami tentang pembelajaran online selama pandemi COVID menunjukkan masih banyak yang harus dipelajari tentang konsep akomodasi yang berterima, yaitu, bagaimana cara memastikan mahasiswa penyandang disabilitas dapat berpartisipasi dalam format pendidikan tradisional?",positif,Composure
"Ia mengatakan, peran seorang ibu dalam kondisi pandemi COVID-19 seperti saat ini penuh dengan tantangan. Selain mengurus pekerjaan rumah tangga, ibu juga harus mengasuh dan mendampingi anak dalam mengikuti pembelajaran online.",positif,Comitment
"Pandemi COVID-19 mengubah cara pembelajaran yang tadinya offline menjadi online. Pada Online Training, sobat akan dipimpin langsung oleh seorang instruktur. Para peserta dapat melihat instruktur di layar, mendengar audio instruktur…https://t.co/JI5nd9Kqfy https://t.co/WS7SYh1wtc",positif,Control 
"Hampir 2 tahun pandemi Covid-19 telah memaksa peserta didik beradaptasi dgn model pembelajaran online. Kreativitas dan ketekunan para guru menjadi ujung tombak kualitas pendidikan kita. Karena itu, terima kasih &amp; apresiasi yg tinggi utk seluruh pendidik bangsa.",negatif,Comitment
"_Akademik dan Profesi UKKI proudly present_

*📝 MINI-EDU TALK 📝*
_Assalamu'alaikum warahmatullahi wabarakatuh_

Haii teman-teman mahasiswa 👋🏻
Pandemi Covid-19 membuat seluruh kegiatan pembelajaran dilakukan secara online. Namun bukan berarti  mempersembahkan kegiatan https://t.co/mW1KHegrWL",negatif,Comitment
"Pandemi Covid 19 mempengaruhi banyak sektor kehidupan. Bidang pendidikan misalnya, pembelajaran tatap muka dihentikan, peserta didik terpaksa harus belajar secara daring atau online. #pendidikan

https://t.co/RlwHSh1hdK https://t.co/XXFwkv7gw0",negatif,Composure
"[MEDIA PARTNER : Akademik dan Profesi UKKI proudly present] 

📝 MINI-EDU TALK 📝
Assalamu'alaikum warahmatullahi wabarakatuh

Haii teman-teman mahasiswa 👋🏻
Pandemi Covid-19 membuat seluruh kegiatan pembelajaran dilakukan secara online. https://t.co/gqmskF15XK",negatif,Comitment
"Pandemi Covid-19 memaksa dunia pendidikan untuk bertransformasi ke platform digital sebagai media pembelajaran. Namun, tak sedikit guru atau tenaga pendidik di Indonesia yang belum lihai dalam pemanfaatan teknologi.
https://t.co/rEPWCOKDP7",positif,Composure
"Covid-19 sebagai pandemi global menetapkan status darurat  nasional. Hal tersebut, membuat iklim pembelajaran yg semula merupakan dominasi klasikal menjadi non-klasikal atau pembelajaran jarak jauh. Kini pembelajaran yang biasanya on-site menjadi online.",negatif,Composure
"Aplikasi pembelajaran online untuk saat ini menjadi salah satu aplikasi yang paling banyak dicari. Terlebih di masa pandemi covid-19 ini yang pembelajarannya dialihkan ke daring.

https://t.co/pze4YlVYut

#PromoPuncak1010 #PercumaLaporPolisi",negatif,Confidience
"Apalagi, pada masa pandemi covid-19 ini, telah terjadi peningkatan dalam penggunaan  situs-situs online dalam kehidupan sehari-hari, seperti dalam pembelajaran jarak jauh atau daring, membeli kebutuhan dengan menggunakan aplikasi jual beli online, penyimpanan data dan sebagainya.",positif,Confidience
"Selama pandemi COVID-19, anak-anak mengalami fatigue (kelelahan) akibat aktivitas yang berhadapan dengan layar terus menerus di rumah. Khususnya kegiatan pembelajaran online yang harus diikuti.

Lalu, bagaimana cara mengurangi fatigue pada anak? Simak yuk tipsnya berikut ini! https://t.co/MTLCmZdxSj",positif,Composure
"[📖 WEDNESDAY READINGS EPS. 15: Produktif di Tengah Kuliah Online 📖]

Halo, Geografi!

Pandemi covid-19 yang masih berlanjut hingga saat ini membuat semua kegiatan pembelajaran di kampus secara daring sehingga mahasiswa terpaksa melakukan kuliah daring dalam waktu cukup lama. https://t.co/DfDiLLncl4",positif,Composure
"#RT @bps_statistics: Pojok Statistik offline kemudian dikembangkan menjadi online
 atau virtual, seiring beralihnya metode pembelajaran sejak pandemi Covid-19.",negatif,Control 
Penggunaan Media Online dalam Pembelajaran PAI di Masa Pandemi Covid-19 https://t.co/ABPTYbXDER,positif,Control 
"Nah kepanjangan dari PTM adalah Pembelajaran Tatap Muka. Kalau awal pandemi kan sekolah online untuk membatasi penularan covid, maka PTM dilaksanakan begitu semua kondisi memungkinkan. Tetep kok prokes jalan terus, masker tetap wajib dipakai.
#SekolahkuSiapPTM 
📸 Freepik https://t.co/z7EW1rbuti",positif,Comitment
"Pembelajaran tatap muka terbatas merupakan sejarah baru setelah sekian lama anak-anak terpaksa dan dipaksa belajar secara online gegara wabah Covid-19
Ayuk.....
Terapkan prokes Covid-19 karena pandemi masih terjadi..!! https://t.co/9qmwy8UM5e",positif,Composure
Sekolah online atau pembelajaran jarak jauh (PJJ) menjadi metode belajar yang dilakukan selama pandemi COVID-19. Namun ternyata ada bahaya yang mengintai. https://t.co/lMqscSp02b,positif,Composure
Mahasiswa KKN BTV III UNEJ Dampingi Guru Gunakan Aplikasi Inovasi Pendukung Pembelajaran Online Dalam Situasi Pandemi Covid-19 https://t.co/jDzvdgTbnA https://t.co/Aghm5Hj6bD,positif,Control 
"KELAS ONLINE IIIT
Pandemi Covid-19 di seluruh dunia telah membawa perubahan radikal di seluruh institusi pendidikan menuju pembelajaran berbasis daring -mencakup lokakarya, dan konferensi online- sebagai satu situasi “normal baru” dalam proses belajar mengajar. 1/4 https://t.co/HpNzbhx0mm",positif,Control 
"Sejak awal pandemi Covid-19, pembelajaran online menjadi tantangan bagi tenaga pendidik, orang tua dan juga peserta didik. Metode pembelajaran yang dilakukan secara online secara terus menerus dapat mempengaruhi kondisi psikologis anak. https://t.co/M5Z52tscKE",positif,Comitment
Mahasiswa KKN BTV 3 UNEJ Kenalkan Platform Digital Sebagai Media Pendukung Pembelajaran Daring (online) di Masa Pandemi Covid-19 - https://t.co/Kmb2agiLzh - https://t.co/Kmb2agiLzh https://t.co/fBgftXKYe8 #Nguter #Sukoharjo #BeritaSukoharjo,positif,Control 
Peneliti di Hong Kong melaporkan adanya peningkatan rabun jauh pada anak selama masa pandemi Covid-19. Hal ini akibat pembelajaran online dan kurangnya aktivitas anak di luar ruangan. Riset yang dipublikasikan di British Journal of Ophthamology ini ... https://t.co/2AAhpiclGM,negatif,Composure
"Ketua DPR RI Puan Maharani, Pembelajaran secara online yang dilakukan sejak Pandemi Covid-19 dinilai telah mengakibatkan anak kehilangan kesempatan belajar. 

Peran DPR, Selain itu, sekolah daring yang terlalu lama disebut mempengaruhi psikologis anak. https://t.co/9GEGVqYS4p",negatif,Composure
"SATYAKARTA BERAKSI! 

Agar kualitas pendidikan dimasa pandemi Covid-19 tidak menurun, siswa dan pengajar harus sama sama aktif dalam melaksanakan kegiatan pembelajaran online. 
#SatyakartaBeraksi #AskaraIndonesia #SDGs 
#PKKMBUNY2021 https://t.co/BvnRxX20M3",negatif,Comitment
"Di tengah pandemi covid , membuat kita semua harus melakukan pembelajaran secara online. Tapi, itu semua tidak mengurangi semangat, seperti pada pkkmb UNJ 2021 dengan para mahasiswa yang penuh semangat semoga pandemi cepat selesai
#AkuUNJ2021
#PKKMBUNJ2021 #OpeningPKKMBUNJ2021 https://t.co/NPweVsfkZ7",positif,Confidience
"#Magetan - Ada kabar baik untuk pelajar dan wali murid di Magetan. Setelah sekian lama, kegiatan belajar mengajar (KBM) dilakukan secara online atau daring akibat pandemi Covid-19, Bupati Suprawoto memberikan sinyal membolehkan pembelajaran tatap muka.
https://t.co/jUYMmyZkxw",negatif,Composure
"Selama pandemi COVID-19, kami sudah mendistribusikan lebih dari 300+ tablet Android sebagai bagian dari bonus Plastic Bank Indonesia, untuk mendukung anak-anak kolektor kami dalam mengikuti pembelajaran daring (online). (1/3) https://t.co/F6vwb521MW",positif,Comitment
Pendidik selamanya lakukan kegiatan studi mengajar di era pandemi ini bersama studi melalui pembelajaran online. Hal ini dijalankan untuk menekan angka kenaikan Covid-19. #IndonesiaMemanggil  Tunjukkan Peranmu https://t.co/ZI5qy1pe9G,negatif,Composure
"Pandemi Covid-19 dan Pemberlakuan Pembatasan Kegiatan Masyarakat (PPKM) di sejumlah wilayah membuat kegiatan pembelajaran masih harus dilakukan secara daring atau online.

#JokowiBerantasPandemi 
#AmpuhMelawan 
# https://t.co/6O2CiFWN55",negatif,Comitment
"Penyaluran ini dilakukan dalam rangka mendukung kegiatan proses pembelajaran siswa di masa pandemi COVID-19 agar bisa tetap mengikuti kegiatan sekolah secara online. Bantuan gadget tersebut meliputi smartphone, kuota internet, dan laptop. https://t.co/7cyZMIajZJ",positif,Comitment
"Dibalik musibah pandemi covid 19, ada hikmah yg luar biasa. Kerjasama orang tua dan guru semakin baik, dan menjadi kunci keberhasilan pendidikan anak. Pembelajaran online merupakan keniscayaan era digital rev ind 4.0. Tanpa pandemi covid 19, dipastikan kita akan tertinggal.",positif,Comitment
"Pembelajaran Daring siswa-siswi  @sdplusigm TA. 2021/2022. 

*Tetap semangat belajar di Rumah*

#sdplusigm
#sekolahparajuara https://t.co/FtJrFoWTpW",negatif,Comitment
"Halo Para Generasi Cakap Digital Indonesia!

Sejak masa pandemi Covid-19, hampir seluruh sekolah di Indonesia mengambil kebijakan untuk pembelajaran via daring (online) atau yang biasa juga disebut dengan pembelajaran jarak jauh (PJJ).",negatif,Comitment
Peran Orang Tua dan Guru Terhadap Penggunaan Teknologi Informasi sebagai Media Pembelajaran Online di Masa Pandemi COVID-19 https://t.co/y6fSwxoX0m https://t.co/VYpSnABi4d,positif,Comitment
"@nxdinxx (salam) (perkenalan)
Pada kesempatan kali ini saya akan membagikan sedikit pengalaman saya selama pembelajaran online selama pandemi COVID-19 ini (jabarin)
Harapan saya untuk pandemi covid-19,agar pandemi ini segera berakhir, ekonomi indonesia segera pulih demi membangun cont.",negatif,Composure
"Di masa pandemi COVID-19, proses pembelajaran online dan ruang gerak yang terbatas, menyebabkan tidak sedikit mahasiswa merasa jenuh bahkan stress. Gimana solusinya? Yuk ikutan Webinar: ""Urgensi Manajemen Stress dengan Menerapkan Perilaku Hidup Bersih dan Sehat di Masa Pandemi"" https://t.co/JVREoEkr55",positif,Composure
"Menurut Puan, pada masa pandemi ini pembelajaran tatap muka jangan dulu diwajibkan karena masih dapat dilakukan secara online hingga pandemi Covid-19 benar-benar dapat terkendali.

#PDIPerjuangan",positif,Composure
"Selama pandemi Covid-19, pembelajaran di Indonesia berubah menjadi daring/ online. Namun, pembelajaran jarak jauh punya kendala. Karena itu, kini Pemerintah sedang menyiapkan kembali pembelajaran tatap muka terbatas yg rencananya dimulai pada Juli 2021
#MedcomAd @lawancovid19_id https://t.co/fCRsdVUiE3",positif,Comitment
"@njmyg_ @bertanyarl Bener, udah tau covid, pembelajaran online. Ibu ngajar aja secara online, harusnya cukup dengan nonton video. Enak ga enak, namanya juga lagi pandemi, harusnya diakalin aja gimana cara nilainya.",negatif,Composure
"Tips dan Trik bagi Pelajar &amp; Mahasiswa Dalam Menghadapi Pembelajaran Online di Masa Pandemi Covid-19

https://t.co/YYvgBgn3vq",negatif,Comitment
"[MENYELAMATKAN PENDIDIKAN TINGGI INDONESIA DARI PANDEMI COVID-19]

Hidup Mahasiswa Indonesia!

Sudah lebih dari satu tahun, para mahasiswa merasakan pembelajaran online.

Respon Pemerintah? Ya, memberikan bantuan beasiswa, serta kuota kuliah. https://t.co/1G9W6Jrce1",positif,Composure
"[Menyelamatkan Pendidikan Tinggi Indonesia dari Pandemi COVID-19]

Kini pembelajaran online sudah tahun 1 lebih di rasakan oleh para mahasiswa. 
Respon Pemerintah? Ya, memberikan bantuan beasiswa, kuota kuliah. Apakah itu mencukupi? Kiranya semua mahasiswa dapat menjawabnya. https://t.co/MPDcyBQQ1y",positif,Composure
"Salah satunya dengan membuat BPSDMTV, guna mempublikasikan berbagai kegiatan yang berhubungan dengan ASN. Melalui media ini, kita dapat memberikan materi &amp; pembelajaran serta melaksanakan pendidikan dan pelatihan secara online dimasa pandemi Covid-19.",positif,Comitment
"Mutu PJJ Daring SMA TN 
Penghargaan dan apresiasi disampaikan oleh Dinas Pendidikan Provinsi Jateng maupun orangtua siswa serta masyarakat terhadap pelaksanaan Pembelajaran Jarak Jauh (PJJ) secara ""Daring/Online"" di SMA Taruna Nusantara semasa pandemi Covid-19. https://t.co/rwmApylBfn",negatif,Comitment
"Penerapan pembelajaran jarak jauh atau belajar secara online selama pandemi COVID-19 berdampak pada potensi berkembangnya sektor edtech di Indonesia. 
Dilaporkan dailysocial dalam tiga tahun terakhir tercatat 11 pendanaan yang melibatkan startup edtech lokal.",positif,Control 
"Andekate mobil internet ini diurus dg baek pd waktu menterinye dr PKS noh.tentunye dimasa pandemi covid skrng ini,saat pembelajaran sekolah pade online.maka manfaatnye terasa warbiasah.Tapi mas menterinye waktu itu pade sibuk ngelike akun pekob mulu.
Gemblung
Dah gitu aja https://t.co/GGWC9rynp1",negatif,Composure
"Namun, semenjak pandemi COVID-19 menyerang Indonesia, pemerintah mengubah sistem pembelajaran menjadi serba online sehingga penyampaian informasi menjadi kurang efektif khususnya tentang kegiatan PKM.

Maka dari itu kami, BEM FH UPNVJ menyelenggarakan webinar dengan tema",positif,Composure
"#SobatBKN, dampak dari pandemi covid 19 menjadikan hampir seluruh pembelajaran untuk mengembangkan kompetensi ASN dilaksanakan secara online atau jarak jauh. https://t.co/uQHCnaQEBk",positif,Comitment
"Suasana Pandemi Covid-19, Babinsa Koramil 1416-07/Tampo Serda Rinadi mendampingi dan memfasilitasi pembelajaran online dengan menggunakan Hotspot/WiFi pribadi kepada siswi SMP Towea sebanyak 5 orang bertempat didesa Renda Kec. Towea Kab Muna,(5/5/2021). https://t.co/2RchpP3hVY",positif,Comitment
"Mengingat pandemi Covid-19 masih berlangsung, kata Pun, perbaikan infrastruktur yang merata di Tanah Air menjadi syarat mutlak berjalannya pembelajaran jarak jauh. “Agar merata dan tidak terjadi kesenjangan infrastrukur PJJ atau online antar daerah dan wilayah,” jelas Puan.",positif,Comitment
Beberapa tahun terakhir kita sama-sama merasakan perubahan pendidikan di Indonesia sebagai dampak Pandemi Covid-19. Sekolah yang berpindah ke sistem online dan materi-materi pembelajaran yang dengan cepat bergeser ke arah digital menjadi tantangan bagi kita semua.,positif,Control 
"Pandemi Covid-19 telah mengakselerasi transformasi digital di dunia pendidikan secara global. Pembelajaran di sekolah yang tadinya dilaksanakan secara tatap muka, kini berubah menjadi pembelajaran online (daring).",positif,Control 
Bupati Tantri Tinjau Pelaksanaan Uji Coba Pembelajaran Tatap Muka https://t.co/L0jK9sSIDf #BupatiProbolinggo #Covid-19 #pandemi #pendidikan,positif,Control 
"[KONSOLIDASI KUALITAS PEMBELAJARAN DARING]

Hidup Mahasiswa!
Hidup Rakyat Indonesia!

Sudah lama kita semua menjalani perkuliahan online dikarenakan pandemi Covid-19. Namun, keefektivitasan pembelajaran daring ini masih perlu dipertanyakan. https://t.co/w9i1cvDKJN",negatif,Composure
Halo semua. Saya sedang melakukan penelitian mengenai pendapat para pelajar terhadap metode pembelajaran online atau daring yang dilakukan selama pandemi COVID-19 ini untuk menyelesaikan studi S1 saya.,positif,Control 
"MY BEST, APLIKASI PEMBELAJARAN GA PAKE RIBET

Di mana saat pandemi COVID-19, dengan memanfaatkan teknologi digital proses belajar mengajar tetap bisa dilaksanakan walau secara daring/online.

Begitupun dengan BSI yang terus berinovasi dalam ...
https://t.co/jnWCo8q7nI https://t.co/2JctFJeRjg",negatif,Confidience
"Mengenai Sekolah Tatap Muka. Ya Emang Kita Semua Sdh Bosan Dgn Sekolah Online. Pembelajaran Tidak Efektif, Banyak Tugas, Dll. Tapi Perlu Diingat Bahwa Yang Harus Kita Selesain Adalah PANDEMI. Karena Pandemi Lah Yang Membuat Kacau. Coba Covid Di Indonesia Sdh Rendah Sekali",positif,Comitment
"Ketika memasuki masa pandemi COVID 19, semua kegiatan pembelajaran sekolah diterapkan secara online atau yang lebih dikenal dengan sebutan PLJJ (Pembelajaran Langsung Jarak Jauh), maka kebutuhan akan kepemilikan handphone untuk anak semakin meningkat. https://t.co/2YPBKAfBJm",positif,Control 
"Penyaluran bantuan HP telah menjadi salah satu program Dinas Pendidikan dalam membantu siswa agar dapat melaksanakan pembelajaran via online selama pandemi covid-19.

#PDIPerjuangan
#SolidBergerak",positif,Comitment
"Inisiatif ini berfokus pada penyediaan materi pembelajaran tentang berpikir kritis dan literasi media, serta membantu audiens menavigasi tantangan yang dihadapi di lingungan pembelajaran online selama pandemi COVID-19. (disadur dari materi Tular Nalar)",positif,Control 
"Selamat siang #Sobatkom, Pemerintah kembali melanjutkan program bantuan kuota internet gratis 2021.

Bantuan kuota internet gratis ini diberikan karena masih berlanjutnya proses pembelajaran jarak jauh (PJJ) secara online karena situasi pandemi Covid-19. https://t.co/qa9vIVhCgX",positif,Control 
"Program bantuan HP bagi siswa di Solo telah menjadi program Pemerintah Kota Surakarta selama pandemi covid-19 yang mengharuskan pembelajaran via online di rumah masing-masing. 

#Solo3wmp #PDIPerjuangan #kawansuluhperjuangan #berjuanguntukkesejahteraanrakyat",positif,Control 
Media Online Solusi Pembelajaran Masa Pandemi Covid-19 di SMPN 3 Tuntang https://t.co/H3egA36Sgf,positif,Control 
"Hello #sobatBPSDMP

Sampai saat ini pandemi Covid-19 belum berakhir sehingga kegiatan belajar mengajar masih dilakukan secara online dengan metode Pembelajaran Jarak Jauh.
(1) https://t.co/l8wACLMuJf",positif,Confidience
"Karena pandemi Covid-19 maka pembelajaran privat dapat dilakukan online maupun offline tentunya dengan tentor yang sudah berpengalaman.

Plihan pelajaran:
Tutorial Iqra/Al-quran
Bahasa Arab
Bahasa Inggris
Pelajaran Umum
Calistung

link pendaftaran:
https://t.co/h15uAplVDN",positif,Confidience
"Halo, HI-ers!

Tak terasa sebentar lagi kita akan memasuki semester genap dan memulai kegiatan perkuliahan online. Berkaitan dengan hal itu terdapat panduan pembelajaran pada tahun ajaran dan akademik baru di masa Pandemi Covid-19 ini.",positif,Composure
"@fvckinanxietyy @sbmptnfess Aku gap btw, mnrt aku bkn masalah pembelajaran online , tapi karna kmrin itu kan covid lg baru baru bgt kan ltmpt jg blm pnya rencana baru yg adaptasi sama masa pandemi itu biar ujian nya tps+tka , maka dari itu jalan nya ya hapus tka karna biar mempersingkat waktu pas tes nya",positif,Control 
"@bukalapak @masmasjawabgt Tuntutan ngajar di pandemi covid-19 yg serba pake aplikasi online. Membuat media pembelajaran interaktif pakai aplikasi hp. Dan kondisi HP yg memprihatinkan begini 😭
Semoga dari @bukalapak bisa mengirimkan salah satu HP nya itu buat saya
#BukaKuisTwitter 
https://t.co/L4zySdu1el",negatif,Composure
"Bener-bener kudu jadi prioritas utama nabung nih. 
Ngajar daring dengan 29 siswa tapi penyimpanannya hampir penuh gini. Tiap hari kudu hapus dan mindah2 data ke laptop 😭
Enakan ngajar tatap muka. Asli https://t.co/TrckbWPGzh",positif,Comitment
"Cara cerdas mencegah ""kecanduan"" game pada anak di era pembelajaran jarak jauh (pandemi covid 19) 👇

Kuliah Online (KulON) #Neuroscience App , 20 Januari 2021

Info , WA: 0821-3645-7526 | 0859 - 5904 - 3357 https://t.co/PaNJNsoTKe",negatif,Control 
Pembiasaan Karakter Pembelajaran Online Masa Pandemi Covid-19 https://t.co/5u6IVSHmbi,positif,Confidience
"Pandemi Covid-19 belum berlalu..... kurangi beraktivitas berkerumun... Lebih baik membaca di rumah mengenal Pembelajaran Online di edisi kedua.

Buku ini dapat diunduh full text pada link berikut:
https://t.co/BphOtdZBmY

#PerpustakaanDigital
#UniversitasTerbuka https://t.co/X1hlgbSJWA",positif,Comitment
"🎧 Pandemi covid-19 memaksa aktivitas belajar-mengajar berubah di tahun 2020 kemarin. Di semester baru sekolah nanti besar kemungkinan akan online jg, masih ingatkah apa saja tantangannya saat mulai Pembelajaran Jarak Jauh? Share dengan reply twit ini ya.. 😉 👌 #BelajarDariRumah https://t.co/DAkfAWfVdl",positif,Comitment
"Mengingat Pandemi Covid-19, maka pembelajaran masih tetap daring/online. Maka dari itu SMA Muhammadiyah 1 Semarang melaunching Platform baru bernama ""El-SMAMSA"". 

Bisa di akses melalui laman:
https://t.co/ATU4P1DD65

#cegahcovid19 #ppdbsmamsa #dirumahsaja https://t.co/9TglibD1W8",negatif,Confidience
"Saya berharap, dengan adanya tablet android ini dapat menjadi penunjang dalam pembelajaran teknologi bagi para santri, terutama pemanfaatan pembelajaran secara online di masa Pandemi Covid-19.",positif,Confidience
Bupati Tantri Putuskan Tunda Pembelajaran Tatap Muka https://t.co/iTzTBeERhA #COVID #pandemi #pendidikan #TatapMuka,positif,Composure
"Kajian ini mendatangkan pemateri Bapak M. Arli Rusandi, M.pd dengan tema 'Analisis Keefektifan Pembelajaran Via Online Dalam Eksistensi Pandemi Covid-19, apakah Berpengaruh Besar Terhadap Implementasi Pembelajaran Mahasiswanya?'.

 Wa'alaikumussalam Warahmatullahi Wabarakatuh",positif,Composure
"Di masa pandemi covid-19 banyak kendala yang dihadapi dalam proses pembelajaran. Janganlah pandemi kita dijadikan alasan untuk terus berkeluh kesah, tapi jadikanlah masa pandemi ini cambuk bagi diri kita untuk bisa belajar melalui media online.
-wali kelas",positif,Composure
"Jum'at (18/12/2020)— Halo pefsier, hari ini Kajian Bulanan Sospol yang ditaja oleh Divisi Sospol HIMAPEFSI, mengangkat tema 'Analisis Keefektifan Pembelajaran Via Online Dalam Eksistensi Pandemi Covid-19, Apakah Berpengaruh Besar Terhadap Implementasi Pembelajaran Mahasiswanya?'.",positif,Comitment
"Ditengah pandemi COVID-19 banyak orangtua yang kelawahan dalam membimbing dan mengajar anaknya dikarenakan sistem pembelajaran yang online, oleh sebab itu dengan adanya kegiatan Mengajar Dari Rumah sangat bisa membantu para orangtua dalam mendidik anaknya https://t.co/OCNpXzwLfl",positif,Comitment
"#BangkitBersama
Kaleidoskop 2020: Nasib Pembelajaran di Era Pandemi Covid-19 | via NU online 

https://t.co/9PoKOMM6AR",positif,Comitment
Kaleidoskop 2020: Nasib Pembelajaran di Era Pandemi Covid-19 https://t.co/vqozdEHjxn,negatif,Composure
"Mengajar dari rumah merupakan salah satu dari usaha pemerintah untuk membantu masyarakat dan juga anak anak kecil agar tetap bisa bertahan hidup ditengah pandemi covid 19 dan sulitnya pembelajaran online yang dialami
#dikitmengajardarirumah
#dikitdutaedukasiperubahanprilaku https://t.co/Ap0OZi1D61",positif,Comitment
